rep,learning_rate,epochs,hidden_units,optimizer,loss_function,train_accuracy,train_precision,train_recall,train_f1_score,train_roc_auc_score,train_auc,train_confusion_matrix,test_accuracy,test_precision,test_recall,test_f1_score,test_roc_auc_score,test_auc,test_confusion_matrix
0,0.1,50000,"[200, 200, 200]",Adam,binary_crossentropy,0.8447508896797153,1.0,0.9596678529062871,0.822572445348246,1.0,-1,"[[1090  315]
 [  34  809]]",0.9166666666666666,1.0,0.4838709677419355,0.5454545454545454,1.0,-1,"[[260   9]
 [ 16  15]]"
0,0.1,50000,"[200, 200, 200]",Adagrad,binary_crossentropy,0.8038256227758007,1.0,0.8815642458100559,0.7815750371471025,1.0,-1,"[[1018  335]
 [ 106  789]]",0.8433333333333334,1.0,0.1891891891891892,0.22950819672131148,1.0,-1,"[[246  17]
 [ 30   7]]"
0,0.1,50000,"[200, 200, 200]",SGD,binary_crossentropy,0.7308718861209964,1.0,0.7972508591065293,0.6970455683525288,1.0,-1,"[[947 428]
 [177 696]]",0.7966666666666666,1.0,0.16363636363636364,0.2278481012658228,1.0,-1,"[[230  15]
 [ 46   9]]"
0,0.1,50000,"[500, 500, 500]",Adam,binary_crossentropy,0.8016014234875445,1.0,0.8459183673469388,0.788022813688213,1.0,-1,"[[973 295]
 [151 829]]",0.83,1.0,0.2786885245901639,0.39999999999999997,1.0,-1,"[[232   7]
 [ 44  17]]"
0,0.1,50000,"[500, 500, 500]",Adagrad,binary_crossentropy,0.8523131672597865,1.0,0.8407917383820999,0.8547681539807525,1.0,-1,"[[939 147]
 [185 977]]",0.8166666666666667,1.0,0.2459016393442623,0.3529411764705882,1.0,-1,"[[230   9]
 [ 46  15]]"
0,0.1,50000,"[500, 500, 500]",SGD,binary_crossentropy,0.7157473309608541,1.0,0.8237650200267023,0.6588360918312868,0.9999999999999999,-1,"[[992 507]
 [132 617]]",0.8233333333333334,1.0,0.17777777777777778,0.23188405797101452,1.0,-1,"[[239  16]
 [ 37   8]]"
0,0.1,50000,"[1000, 1000, 1000]",Adam,binary_crossentropy,0.5809608540925267,1.0,0.9690721649484536,0.2852807283763278,1.0,-1,"[[1118  936]
 [   6  188]]",0.92,1.0,0.5,0.29411764705882354,1.0,-1,"[[271  19]
 [  5   5]]"
0,0.1,50000,"[1000, 1000, 1000]",Adagrad,binary_crossentropy,0.7424377224199288,1.0,0.6607669616519174,0.7946080170273148,1.0,-1,"[[ 549    4]
 [ 575 1120]]",0.5,1.0,0.13793103448275862,0.2424242424242424,1.0,-1,"[[126   0]
 [150  24]]"
0,0.1,50000,"[1000, 1000, 1000]",SGD,binary_crossentropy,0.7735765124555161,1.0,0.7892756349952963,0.7672610882487427,1.0,-1,"[[900 285]
 [224 839]]",0.7766666666666666,1.0,0.14754098360655737,0.21176470588235297,1.0,-1,"[[224  15]
 [ 52   9]]"
0,0.1,100000,"[200, 200, 200]",Adam,binary_crossentropy,0.7713523131672598,1.0,0.6862026862026862,0.8139029688631426,1.0,-1,"[[ 610    0]
 [ 514 1124]]",0.5466666666666666,1.0,0.14102564102564102,0.2444444444444444,1.0,-1,"[[142   2]
 [134  22]]"
0,0.1,100000,"[200, 200, 200]",Adagrad,binary_crossentropy,0.8287366548042705,1.0,0.8721047331319235,0.8181388757675957,1.0,-1,"[[997 258]
 [127 866]]",0.85,1.0,0.2558139534883721,0.3283582089552239,1.0,-1,"[[244  13]
 [ 32  11]]"
0,0.1,100000,"[200, 200, 200]",SGD,binary_crossentropy,0.6565836298932385,1.0,0.919047619047619,0.5,1.0,-1,"[[1090  738]
 [  34  386]]",0.91,1.0,0.4,0.3076923076923077,1.0,-1,"[[267  18]
 [  9   6]]"
0,0.1,100000,"[500, 500, 500]",Adam,binary_crossentropy,0.8487544483985765,1.0,0.7718446601941747,0.8674980514419329,1.0,-1,"[[ 795   11]
 [ 329 1113]]",0.69,1.0,0.17757009345794392,0.2900763358778625,1.0,-1,"[[188   5]
 [ 88  19]]"
0,0.1,100000,"[500, 500, 500]",Adagrad,binary_crossentropy,0.5520462633451957,1.0,1.0,0.18855761482675262,1.0,-1,"[[1124 1007]
 [   0  117]]",0.9233333333333333,1.0,1.0,0.07999999999999999,1.0,-1,"[[276  23]
 [  0   1]]"
0,0.1,100000,"[500, 500, 500]",SGD,binary_crossentropy,0.7851423487544484,1.0,0.7549721559268099,0.7971440571188576,1.0,-1,"[[816 175]
 [308 949]]",0.7066666666666667,1.0,0.12790697674418605,0.2,1.0,-1,"[[201  13]
 [ 75  11]]"
0,0.1,100000,"[1000, 1000, 1000]",Adam,binary_crossentropy,0.7975978647686833,1.0,0.7261663286004056,0.8252016903572801,1.0,-1,"[[ 719   50]
 [ 405 1074]]",0.6433333333333333,1.0,0.16260162601626016,0.272108843537415,1.0,-1,"[[173   4]
 [103  20]]"
0,0.1,100000,"[1000, 1000, 1000]",Adagrad,binary_crossentropy,0.8251779359430605,1.0,0.7998359310910582,0.8322663252240717,1.0,-1,"[[880 149]
 [244 975]]",0.74,1.0,0.1625,0.25,1.0,-1,"[[209  11]
 [ 67  13]]"
0,0.1,100000,"[1000, 1000, 1000]",SGD,binary_crossentropy,0.8033807829181495,1.0,0.7960069444444444,0.805799648506151,1.0,-1,"[[889 207]
 [235 917]]",0.7566666666666667,1.0,0.14492753623188406,0.21505376344086022,1.0,-1,"[[217  14]
 [ 59  10]]"
0,0.01,5000,"[200, 200, 200]",Adam,binary_crossentropy,0.9741992882562278,1.0,0.9602763385146805,0.974583698510079,1.0,-1,"[[1078   12]
 [  46 1112]]",0.9166666666666666,1.0,0.48717948717948717,0.6031746031746031,1.0,-1,"[[256   5]
 [ 20  19]]"
0,0.01,5000,"[200, 200, 200]",Adagrad,binary_crossentropy,0.7940391459074733,1.0,0.7325826882477129,0.8180746561886052,1.0,-1,"[[ 744   83]
 [ 380 1041]]",0.6266666666666667,1.0,0.13934426229508196,0.23287671232876714,1.0,-1,"[[171   7]
 [105  17]]"
0,0.01,5000,"[200, 200, 200]",SGD,binary_crossentropy,0.5636120996441281,1.0,0.5343254920787326,0.6941066417212347,1.0,-1,"[[ 154   11]
 [ 970 1113]]",0.21,1.0,0.09195402298850575,0.16842105263157897,1.0,-1,"[[ 39   0]
 [237  24]]"
0,0.01,5000,"[500, 500, 500]",Adam,binary_crossentropy,0.949288256227758,1.0,0.9893410852713178,0.9471243042671614,1.0,-1,"[[1113  103]
 [  11 1021]]",0.95,1.0,0.68,0.6938775510204083,1.0,-1,"[[268   7]
 [  8  17]]"
0,0.01,5000,"[500, 500, 500]",Adagrad,binary_crossentropy,0.7050711743772242,1.0,0.8013071895424837,0.6490206458443621,1.0,-1,"[[972 511]
 [152 613]]",0.7933333333333333,1.0,0.12,0.16216216216216217,1.0,-1,"[[232  18]
 [ 44   6]]"
0,0.01,5000,"[500, 500, 500]",SGD,binary_crossentropy,0.6850533807829181,1.0,0.6612403100775194,0.7067108533554266,1.0,-1,"[[687 271]
 [437 853]]",0.6033333333333334,1.0,0.10084033613445378,0.16783216783216784,1.0,-1,"[[169  12]
 [107  12]]"
0,0.01,5000,"[1000, 1000, 1000]",Adam,binary_crossentropy,0.9568505338078291,1.0,0.9205569205569205,0.95863539445629,1.0,-1,"[[1027    0]
 [  97 1124]]",0.8866666666666667,1.0,0.3958333333333333,0.5277777777777777,1.0,-1,"[[247   5]
 [ 29  19]]"
0,0.01,5000,"[1000, 1000, 1000]",Adagrad,binary_crossentropy,0.6552491103202847,1.0,0.5918904686677199,0.7436321534899106,1.0,-1,"[[ 349    0]
 [ 775 1124]]",0.35333333333333333,1.0,0.11009174311926606,0.19834710743801653,1.0,-1,"[[ 82   0]
 [194  24]]"
0,0.01,5000,"[1000, 1000, 1000]",SGD,binary_crossentropy,0.6935053380782918,1.0,0.6268221574344023,0.7573089115885875,1.0,-1,"[[ 484   49]
 [ 640 1075]]",0.41333333333333333,1.0,0.11224489795918367,0.2,1.0,-1,"[[102   2]
 [174  22]]"
0,0.01,10000,"[200, 200, 200]",Adam,binary_crossentropy,0.9546263345195729,1.0,0.9174836601307189,0.9565587734241908,1.0,-1,"[[1023    1]
 [ 101 1123]]",0.8833333333333333,1.0,0.3829787234042553,0.5070422535211269,1.0,-1,"[[247   6]
 [ 29  18]]"
